Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Heuristic Time
1500.0,0.01,3.0,2.0,0.0,0.00883,0.09204,242.01017,244.14042,0.00873,4210.0,2322.0,1113.75,241.98581,
1500.0,0.01,4.0,2.0,0.0,0.00883,0.09204,242.01017,244.14042,0.00873,4210.0,2319.0,1050.05357,241.98581,
1500.0,0.01,5.0,2.0,0.0,0.00883,0.09204,242.01017,244.14042,0.00873,4210.0,2323.0,0.10101,241.98581,
1500.0,0.01,6.0,2.0,0.0,0.00883,0.09204,242.01017,244.14042,0.00873,4210.0,4209.0,1.1033,241.98581,54.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.01,1.0,2.0,0.0,0.02664,0.11549,236.53405,243.47599,0.02664,4211.0,2273.0,861.3,236.98925,
1500.0,0.01,2.0,2.0,0.0,0.02664,0.11549,236.53405,243.47599,0.02664,4211.0,2274.0,0.13468,236.98925,
1500.0,0.01,3.0,2.0,0.0,0.02664,0.11549,236.53405,243.47599,0.02664,4211.0,2272.0,1113.75,236.98925,
1500.0,0.01,4.0,2.0,0.0,0.02664,0.11549,236.53405,243.47599,0.02664,4211.0,2270.0,1050.05357,236.98925,
1500.0,0.01,5.0,2.0,0.0,0.02664,0.11549,236.53405,243.47599,0.02664,4211.0,2271.0,0.10101,236.98925,
1500.0,0.01,6.0,2.0,0.0,0.02664,0.11549,236.53405,243.47599,0.02664,4211.0,2284.0,0.35429,236.98925,58.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.04832,0.17372,230.35543,247.39278,0.04832,4210.0,2485.0,843.9,235.43884,
1500.0,0.03,2.0,2.0,0.0,0.04832,0.17372,230.35543,247.39278,0.04832,4210.0,2479.0,0.13746,235.43884,
1500.0,0.03,3.0,2.0,0.0,0.04832,0.17372,230.35543,247.39278,0.04832,4210.0,2484.0,1091.25,235.43884,
1500.0,0.03,4.0,2.0,0.0,0.04832,0.17372,230.35543,247.39278,0.04832,4210.0,2479.0,1028.84037,235.43884,
1500.0,0.03,5.0,2.0,0.0,0.04832,0.17372,230.35543,247.39278,0.04832,4210.0,2482.0,0.10309,235.43884,
1500.0,0.03,6.0,2.0,0.0,0.04832,0.17372,230.35543,247.39278,0.04832,4210.0,2481.0,0.39311,235.43884,61.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.03851,0.14422,238.81087,251.63168,0.03851,4211.0,2338.0,843.9,241.9413,
1500.0,0.03,2.0,2.0,0.0,0.03851,0.14422,238.81087,251.63168,0.03851,4211.0,2343.0,0.13746,241.9413,
1500.0,0.03,3.0,2.0,0.0,0.03851,0.14422,238.81087,251.63168,0.03851,4211.0,2339.0,1091.25,241.9413,
1500.0,0.03,4.0,2.0,0.0,0.03851,0.14422,238.81087,251.63168,0.03851,4211.0,2335.0,1028.84037,241.9413,
1500.0,0.03,5.0,2.0,0.0,0.03851,0.14422,238.81087,251.63168,0.03851,4211.0,2338.0,0.10309,241.9413,
1500.0,0.03,6.0,2.0,0.0,0.03851,0.14422,238.81087,251.63168,0.03851,4211.0,2337.0,0.38037,241.9413,52.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.07797,0.13967,240.5247,258.31309,0.06886,4211.0,2367.0,843.9,238.17327,
1500.0,0.03,2.0,2.0,0.0,0.07797,0.13967,240.5247,258.31309,0.06886,4211.0,2362.0,0.13746,238.17327,
1500.0,0.03,3.0,2.0,0.0,0.07797,0.13967,240.5247,258.31309,0.06886,4211.0,2365.0,1091.25,238.17327,
1500.0,0.03,4.0,2.0,0.0,0.07797,0.13967,240.5247,258.31309,0.06886,4211.0,2364.0,1028.84037,238.17327,
1500.0,0.03,5.0,2.0,0.0,0.07797,0.13967,240.5247,258.31309,0.06886,4211.0,2363.0,0.10309,238.17327,
1500.0,0.03,6.0,2.0,0.0,0.07797,0.13967,240.5247,258.31309,0.06886,4211.0,2359.0,0.38812,238.17327,49.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.02678,0.12367,244.67527,253.78501,0.02678,4210.0,2351.0,843.9,246.98829,
1500.0,0.03,2.0,2.0,0.0,0.02678,0.12367,244.67527,253.78501,0.02678,4210.0,2355.0,0.13746,246.98829,
1500.0,0.03,3.0,2.0,0.0,0.02678,0.12367,244.67527,253.78501,0.02678,4210.0,2355.0,1091.25,246.98829,
1500.0,0.03,4.0,2.0,0.0,0.02678,0.12367,244.67527,253.78501,0.02678,4210.0,2360.0,1028.84037,246.98829,
1500.0,0.03,5.0,2.0,0.0,0.02678,0.12367,244.67527,253.78501,0.02678,4210.0,2352.0,0.10309,246.98829,
1500.0,0.03,6.0,2.0,0.0,0.02678,0.12367,244.67527,253.78501,0.02678,4210.0,2350.0,0.37655,246.98829,54.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,1.0,1.0,0.0,0.1812,228.29304,240.35181,0.0,4211.0,2108.0,0.22789,240.35181,
1500.0,0.03,2.0,1.0,1.0,0.0,0.1812,228.29304,240.35181,0.0,4211.0,2108.0,0.22789,240.35181,
1500.0,0.03,3.0,1.0,1.0,0.0,0.1812,228.29304,240.35181,0.0,4211.0,2108.0,0.22789,240.35181,
1500.0,0.03,4.0,1.0,1.0,0.0,0.1812,228.29304,240.35181,0.0,4211.0,2109.0,0.22789,240.35181,
1500.0,0.03,5.0,1.0,1.0,0.0,0.1812,228.29304,240.35181,0.0,4211.0,2109.0,0.22789,240.35181,
1500.0,0.03,6.0,1.0,1.0,0.0,0.1812,228.29304,240.35181,0.0,4211.0,2109.0,0.22789,240.35181,86.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.05035,0.16327,235.21122,250.35779,0.05035,4211.0,2363.0,843.9,237.75197,
1500.0,0.03,2.0,2.0,0.0,0.05035,0.16327,235.21122,250.35779,0.05035,4211.0,2369.0,0.13746,237.75197,
1500.0,0.03,3.0,2.0,0.0,0.05035,0.16327,235.21122,250.35779,0.05035,4211.0,2364.0,1091.25,237.75197,
1500.0,0.03,4.0,2.0,0.0,0.05035,0.16327,235.21122,250.35779,0.05035,4211.0,2368.0,1028.84037,237.75197,
1500.0,0.03,5.0,2.0,0.0,0.05035,0.16327,235.21122,250.35779,0.05035,4211.0,2364.0,0.10309,237.75197,
1500.0,0.03,6.0,2.0,0.0,0.05035,0.16327,235.21122,250.35779,0.05035,4211.0,2363.0,0.39057,237.75197,48.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.02729,0.14225,239.84553,252.29914,0.02729,4210.0,2376.0,843.9,245.41372,
1500.0,0.03,2.0,2.0,0.0,0.02729,0.14225,239.84553,252.29914,0.02729,4210.0,2373.0,0.13746,245.41372,
1500.0,0.03,3.0,2.0,0.0,0.02729,0.14225,239.84553,252.29914,0.02729,4210.0,2375.0,1091.25,245.41372,
1500.0,0.03,4.0,2.0,0.0,0.02729,0.14225,239.84553,252.29914,0.02729,4210.0,2377.0,1028.84037,245.41372,
1500.0,0.03,5.0,2.0,0.0,0.02729,0.14225,239.84553,252.29914,0.02729,4210.0,2375.0,0.10309,245.41372,
1500.0,0.03,6.0,2.0,0.0,0.02729,0.14225,239.84553,252.29914,0.02729,4210.0,2370.0,0.37685,245.41372,57.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.04917,0.12591,244.43208,256.67535,0.0477,4210.0,2519.0,843.9,244.05489,
1500.0,0.03,2.0,2.0,0.0,0.04917,0.12591,244.43208,256.67535,0.0477,4210.0,2528.0,0.13746,244.05489,
1500.0,0.03,3.0,2.0,0.0,0.04917,0.12591,244.43208,256.67535,0.0477,4210.0,2526.0,1091.25,244.05489,
1500.0,0.03,4.0,2.0,0.0,0.04917,0.12591,244.43208,256.67535,0.0477,4210.0,2529.0,1028.84037,244.05489,
1500.0,0.03,5.0,2.0,0.0,0.04917,0.12591,244.43208,256.67535,0.0477,4210.0,2522.0,0.10309,244.05489,
1500.0,0.03,6.0,2.0,0.0,0.04917,0.12591,244.43208,256.67535,0.0477,4210.0,2551.0,0.38019,244.05489,64.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.03925,0.13622,242.07589,252.10403,0.03925,4212.0,2515.0,843.9,242.20884,
1500.0,0.03,2.0,2.0,0.0,0.03925,0.13622,242.07589,252.10403,0.03925,4212.0,2522.0,0.13746,242.20884,
1500.0,0.03,3.0,2.0,0.0,0.03925,0.13622,242.07589,252.10403,0.03925,4212.0,2510.0,1091.25,242.20884,
1500.0,0.03,4.0,2.0,0.0,0.03925,0.13622,242.07589,252.10403,0.03925,4212.0,2513.0,1028.84037,242.20884,
1500.0,0.03,5.0,2.0,0.0,0.03925,0.13622,242.07589,252.10403,0.03925,4212.0,2514.0,0.10309,242.20884,
1500.0,0.03,6.0,2.0,0.0,0.03925,0.13622,242.07589,252.10403,0.03925,4212.0,2509.0,0.38285,242.20884,53.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.01397,0.17918,228.23433,241.37182,0.01397,4212.0,2504.0,843.9,238.00094,
1500.0,0.03,2.0,2.0,0.0,0.01397,0.17918,228.23433,241.37182,0.01397,4212.0,2520.0,0.13746,238.00094,
1500.0,0.03,3.0,2.0,0.0,0.01397,0.17918,228.23433,241.37182,0.01397,4212.0,2524.0,1091.25,238.00094,
1500.0,0.03,4.0,2.0,0.0,0.01397,0.17918,228.23433,241.37182,0.01397,4212.0,2529.0,1028.84037,238.00094,
1500.0,0.03,5.0,2.0,0.0,0.01397,0.17918,228.23433,241.37182,0.01397,4212.0,2527.0,0.10309,238.00094,
1500.0,0.03,6.0,2.0,0.0,0.01397,0.17918,228.23433,241.37182,0.01397,4212.0,2683.0,0.32085,238.00094,69.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2475.0,843.9,246.625,
1500.0,0.03,2.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2482.0,0.13746,246.625,
1500.0,0.03,3.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2474.0,1091.25,246.625,
1500.0,0.03,4.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2485.0,1028.84037,246.625,
1500.0,0.03,5.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2473.0,0.10309,246.625,
1500.0,0.03,6.0,2.0,0.0,0.02358,0.1352,241.81047,252.58072,0.02358,4212.0,2472.0,0.37622,246.625,48.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
1500.0,0.03,1.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2498.0,843.9,230.35052,
1500.0,0.03,2.0,2.0,0.0,0.09848,0.17901,229.87427,255.51277,0.09848,4211.0,2488.0,0.13746,230.35052,
